list,num_children,toys,Production Manager,quota,week,toys_produced,running_sum_toys_produced,over_under_quota
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-04-24,2788777,31055843,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-05-01,1141352,32197195,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-05-08,512846,32710041,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-05-15,1287438,33997479,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-05-22,425282,34422761,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-05-29,1036528,35459289,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-06-05,1250111,36709400,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-06-12,471052,37180452,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-06-19,1039644,38220096,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-06-26,522926,38743022,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-07-03,271944,39014966,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-07-10,520925,39535891,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-07-17,560923,40096814,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-07-24,216593,40313407,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-07-31,2097230,42410637,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-08-07,2226786,44637423,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-08-14,1089241,45726664,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-08-21,145959,45872623,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-08-28,472754,46345377,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-09-04,1233607,47578984,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-09-11,1655953,49234937,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-09-18,1144448,50379385,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-09-25,1942488,52321873,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-10-02,517146,52839019,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-10-09,677666,53516685,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-10-16,2692125,56208810,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-10-23,1495567,57704377,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-10-30,1080902,58785279,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-11-06,882922,59668201,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-11-13,839257,60507458,Over
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-11-20,2319624,62827082,Over
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-11-27,544070,63371152,Over
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-12-04,120022,63491174,Over
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-12-11,1543308,65034482,Over
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-12-18,2229822,67264304,Over
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-01-02,1371921,1371921,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-01-09,1685534,3057455,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-01-16,828360,3885815,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-01-23,1962565,5848380,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-01-30,2090223,7938603,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-02-06,2202386,10140989,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-02-13,1687424,11828413,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-02-20,1553325,13381738,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-02-27,898402,14280140,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-03-06,2119480,16399620,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-03-13,1014256,17413876,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-03-20,1049462,18463338,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-03-27,1524136,19987474,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-04-03,2299360,22286834,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-04-10,1079817,23366651,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-04-17,49709,23416360,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-04-24,1493061,24909421,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-05-01,1728059,26637480,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-05-08,723494,27360974,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-05-15,2133095,29494069,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-05-22,2293860,31787929,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-05-29,1874406,33662335,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-06-05,1493616,35155951,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-06-12,583740,35739691,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-06-19,1316038,37055729,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-06-26,433271,37489000,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-07-03,2195343,39684343,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-07-10,481054,40165397,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-07-17,2001639,42167036,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-07-24,1913818,44080854,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-07-31,1626335,45707189,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-08-07,332722,46039911,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-08-14,1570891,47610802,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-08-21,1714884,49325686,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-08-28,1616751,50942437,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-09-04,1859507,52801944,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-09-11,1379125,54181069,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-09-18,2151714,56332783,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-09-25,345789,56678572,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-10-02,281191,56959763,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-10-09,1015343,57975106,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-10-16,1047218,59022324,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-10-23,1985617,61007941,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-10-30,419553,61427494,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-11-06,2141402,63568896,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-11-13,240154,63809050,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-11-20,218867,64027917,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-11-27,430263,64458180,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-12-04,120976,64579156,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-12-11,2063577,66642733,Under
Nicer than Most,300000000,Medium Lego Set,Sprinkles Kringle,75000000.0,2023-12-18,1952755,68595488,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-01-02,455631,455631,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-01-09,2280887,2736518,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-01-16,1182415,3918933,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-01-23,429049,4347982,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-01-30,209559,4557541,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-02-06,1545342,6102883,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-02-13,1479886,7582769,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-02-20,820923,8403692,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-02-27,1017789,9421481,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-03-06,254697,9676178,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-03-13,1354155,11030333,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-03-20,1132254,12162587,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-03-27,460152,12622739,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-04-03,1181236,13803975,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-04-10,1734944,15538919,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-04-17,1462231,17001150,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-04-24,1142575,18143725,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-05-01,643503,18787228,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-05-08,436386,19223614,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-05-15,1645614,20869228,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-05-22,214170,21083398,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-05-29,37299,21120697,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-06-05,172462,21293159,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-06-12,2010614,23303773,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-06-19,1427677,24731450,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-06-26,94533,24825983,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-07-03,461478,25287461,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-07-10,250227,25537688,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-07-17,562704,26100392,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-07-24,1415955,27516347,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-07-31,2043842,29560189,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-08-07,319547,29879736,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-08-14,1344105,31223841,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-08-21,1596276,32820117,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-08-28,1585280,34405397,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-09-04,2120069,36525466,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-09-11,102760,36628226,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-09-18,2208834,38837060,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-09-25,735211,39572271,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-10-02,588593,40160864,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-10-09,1796680,41957544,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-10-16,424632,42382176,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-10-23,2017143,44399319,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-10-30,1704998,46104317,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-11-06,1442209,47546526,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-11-13,1651702,49198228,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-11-20,898709,50096937,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-11-27,1993307,52090244,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-12-04,2126447,54216691,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-12-11,847614,55064305,Under
Nicer than Most,300000000,Scooter,Pixie Starlight,75000000.0,2023-12-18,2221167,57285472,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-01-02,2172968,2172968,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-01-09,319248,2492216,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-01-16,3016465,5508681,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-01-23,2372145,7880826,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-01-30,2795805,10676631,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-02-06,4308214,14984845,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-02-13,4818408,19803253,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-02-20,2589702,22392955,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-02-27,372910,22765865,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-03-06,1870247,24636112,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-03-13,3264310,27900422,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-03-20,4812368,32712790,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-03-27,3074261,35787051,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-04-03,509593,36296644,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-04-10,4396584,40693228,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-04-17,1017799,41711027,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-04-24,816481,42527508,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-05-01,4703016,47230524,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-05-08,4263458,51493982,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-05-15,1459261,52953243,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-05-22,4812609,57765852,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-05-29,3197236,60963088,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-06-05,2500146,63463234,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-06-12,4799265,68262499,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-06-19,1295149,69557648,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-06-26,3584215,73141863,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-07-03,2934432,76076295,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-07-10,3742464,79818759,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-07-17,1412074,81230833,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-07-24,4161629,85392462,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-07-31,806738,86199200,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-08-07,573685,86772885,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-08-14,3811577,90584462,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-08-21,3098751,93683213,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-08-28,4334434,98017647,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-09-04,1714730,99732377,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-09-11,3490471,103222848,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-09-18,1549041,104771889,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-09-25,4073745,108845634,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-10-02,608045,109453679,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-10-09,1802106,111255785,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-10-16,1663923,112919708,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-10-23,1801833,114721541,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-10-30,4402694,119124235,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-11-06,4291444,123415679,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-11-13,1150219,124565898,Under
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-11-20,4747979,129313877,Over
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-11-27,2102936,131416813,Over
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-12-04,1787492,133204305,Over
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-12-11,3519083,136723388,Over
Nice,500000000,Skateboard,Glitter Evergreen,125000000.0,2023-12-18,2826012,139549400,Over
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-01-02,3071642,3071642,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-01-09,1467901,4539543,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-01-16,641866,5181409,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-01-23,4060128,9241537,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-01-30,2208615,11450152,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-02-06,1641158,13091310,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-02-13,2656631,15747941,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-02-20,4617155,20365096,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-02-27,9941,20375037,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-03-06,4867421,25242458,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-03-13,465959,25708417,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-03-20,4415851,30124268,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-03-27,76782,30201050,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-04-03,4367683,34568733,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-04-10,3849691,38418424,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-04-17,4218651,42637075,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-04-24,510706,43147781,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-05-01,1807017,44954798,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-05-08,114838,45069636,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-05-15,2454725,47524361,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-05-22,2110013,49634374,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-05-29,1846188,51480562,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-06-05,4710443,56191005,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-06-12,2036504,58227509,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-06-19,1961537,60189046,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-06-26,3588115,63777161,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-07-03,2156806,65933967,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-07-10,4769149,70703116,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-07-17,4441056,75144172,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-07-24,2060760,77204932,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-07-31,863596,78068528,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-08-07,142237,78210765,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-08-14,2809282,81020047,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-08-21,4177184,85197231,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-08-28,274323,85471554,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-09-04,89590,85561144,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-09-11,2836032,88397176,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-09-18,2494168,90891344,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-09-25,2118981,93010325,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-10-02,4459941,97470266,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-10-09,690214,98160480,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-10-16,163281,98323761,Under
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-10-23,2065865,100389626,Over
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-10-30,4248440,104638066,Over
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-11-06,1795801,106433867,Over
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-11-13,3005639,109439506,Over
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-11-20,4219037,113658543,Over
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-11-27,2840742,116499285,Over
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-12-04,1748852,118248137,Over
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-12-11,938609,119186746,Over
Nice,500000000,Small Lego Set,Jingle Snowflake,100000000.0,2023-12-18,4363547,123550293,Over
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-01-02,1580166,1580166,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-01-09,412187,1992353,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-01-16,238533,2230886,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-01-23,1453491,3684377,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-01-30,560058,4244435,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-02-06,491541,4735976,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-02-13,1196096,5932072,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-02-20,1100263,7032335,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-02-27,1145114,8177449,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-03-06,1758809,9936258,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-03-13,553168,10489426,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-03-20,321464,10810890,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-03-27,882524,11693414,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-04-03,748668,12442082,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-04-10,1488194,13930276,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-04-17,1220913,15151189,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-04-24,1274787,16425976,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-05-01,1034808,17460784,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-05-08,2276191,19736975,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-05-15,1605091,21342066,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-05-22,89636,21431702,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-05-29,1213520,22645222,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-06-05,2143958,24789180,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-06-12,1408251,26197431,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-06-19,803632,27001063,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-06-26,1513038,28514101,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-07-03,692137,29206238,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-07-10,646257,29852495,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-07-17,450362,30302857,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-07-24,1846002,32148859,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-07-31,1111892,33260751,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-08-07,472441,33733192,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-08-14,795049,34528241,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-08-21,887704,35415945,Under
Nicer than Most,300000000,Squishmallow,Blinky Sparkles,45000000.0,2023-08-28,690118,36106063,Under
